Code commune,Libell? des communes,Typo degr? de densit?,R?gion,Population municipale 2016,Part population dense (1),Part population interm?diaire (2),Part population peu dense (3),Part population tr?s peu dense (4)
1103,Chevry,2,84,1700,0%,"81,7022456334904%","16,6897698918769%","1,60798447463266%"
1104,Ch?zery-Forens,3,84,471,0%,0%,0%,100%
1105,Civrieux,3,84,1684,0%,0%,"94,5167543616727%","5,48324563832733%"
1106,Cize,4,84,174,0%,0%,0%,100%
1107,Cleyzieu,4,84,137,0%,0%,0%,100%
1108,Coligny,3,84,1212,0%,0%,"97,6764199655766%","2,32358003442341%"
1109,Collonges,3,84,2272,0%,0%,"98,6798679867987%","1,32013201320132%"
1110,Colomieu,4,84,132,0%,0%,0%,100%
1111,Conand,4,84,122,0%,0%,0%,100%
1112,Condamine,3,84,451,0%,0%,"99,3478260869565%","0,652173913043478%"
1113,Condeissiat,3,84,832,0%,0%,"92,6946107784431%","7,30538922155689%"
1114,Confort,3,84,631,0%,0%,"91,1764705882353%","8,82352941176471%"
1115,Confranon,3,84,1360,0%,0%,"98,7481590574374%","1,25184094256259%"
1116,Contrevoz,3,84,515,0%,0%,"65,7894736842105%","34,2105263157895%"
1117,Conzieu,4,84,154,0%,0%,0%,100%
1118,Corbonod,3,84,1290,0%,0%,"99,2446496013428%","0,755350398657155%"
1121,Corlier,4,84,114,0%,0%,0%,100%
1123,Cormoranche-sur-Sane,3,84,1153,0%,0%,"97,7835723598436%","2,21642764015645%"
1124,Cormoz,3,84,677,0%,0%,"73,0911786508525%","26,9088213491475%"
1125,Corveissiat,3,84,636,0%,0%,"58,2247557003257%","41,7752442996743%"
1127,Courmangoux,3,84,514,0%,0%,"89,1726251276813%","10,8273748723187%"
1128,Courtes,3,84,312,0%,0%,"81,0766721044046%","18,9233278955954%"
1129,Crans,4,84,267,0%,0%,"80,9859154929577%","19,0140845070423%"
1130,Bresse Vallons,3,84,2307,0%,0%,"85,6860809476802%","14,3139190523198%"
1133,Cressin-Rochefort,3,84,404,0%,0%,"98,5832349468713%","1,41676505312869%"
1134,Crottet,3,84,1784,0%,"3,17018909899889%","96,440489432703%","0,389321468298109%"
1135,Crozet,2,84,2193,0%,"85,632321300502%","13,1723643318193%","1,1953143676787%"
1136,Cruzilles-l?s-M?pillat,3,84,880,0%,0%,"98,4913793103448%","1,50862068965517%"
1138,Culoz,3,84,3109,0%,0%,"97,1361971361971%","2,86380286380286%"
1139,Curciat-Dongalon,3,84,448,0%,0%,"65,625%","34,375%"
1140,Curtafond,3,84,788,0%,0%,"96,7067764407853%","3,29322355921469%"
1141,Cuzieu,3,84,449,0%,0%,"98,8165680473373%","1,18343195266272%"
1142,Dagneux,2,84,4768,0%,"95,3125%","4,66652684563758%","0,0209731543624161%"
1143,Divonne-les-Bains,2,84,9692,0%,"95,1199295446304%","4,65212661244366%","0,22794384292597%"
1145,Dompierre-sur-Veyle,3,84,1185,0%,0%,"74,8195329087049%","25,1804670912951%"
1146,Dompierre-sur-Chalaronne,3,84,441,0%,0%,"98,4251968503937%","1,5748031496063%"
1147,Domsure,4,84,488,0%,0%,"77,4259448416752%","22,5740551583248%"
1148,Dortan,3,84,1890,0%,0%,"97,7766013763896%","2,22339862361038%"
1149,Douvres,3,84,1078,0%,0%,"99,5366079703429%","0,46339202965709%"
1150,Drom,4,84,222,0%,0%,0%,100%
1151,Druillat,3,84,1175,0%,0%,"75,7679180887372%","24,2320819112628%"
1152,challon,3,84,780,0%,0%,"94,1683233929755%","5,83167660702452%"
1153,chenevex,2,84,2247,0%,"77,5700934579439%","21,615144979631%","0,814761562425114%"
1155,vosges,4,84,148,0%,0%,0%,100%
1156,Faramans,3,84,813,0%,0%,"94,8564593301435%","5,14354066985646%"
1157,Fareins,2,84,2253,0%,"60,4091963720734%","39,4642480489348%","0,126555578991774%"
1158,Farges,3,84,1028,0%,0%,"83,2900882200311%","16,7099117799689%"
1159,Feillens,2,84,3372,0%,"78,7369640787949%","21,0312862108922%","0,231749710312862%"
1160,Ferney-Voltaire,2,84,9800,0%,"94,858123429552%","5,1296194153337%","0,012257155114298%"
1162,Flaxieu,3,84,69,0%,0%,100%,0%
1163,Foissiat,3,84,2100,0%,0%,"89,7517039922103%","10,2482960077897%"
1165,Francheleins,3,84,1606,0%,0%,"84,41400304414%","15,58599695586%"
1166,Frans,2,84,2388,0%,"89,0549273021002%","10,1777059773829%","0,767366720516963%"
1167,Garnerans,3,84,680,0%,0%,"98,7758224942617%","1,22417750573833%"
1169,Genouilleux,2,84,619,0%,"59,874114870181%","38,552321007081%","1,573564122738%"
1170,B?ard-G?ovreissiat,3,84,1066,0%,0%,"99,7243913642627%","0,275608635737253%"
1171,G?ovreisset,2,84,937,0%,"96,7902600996126%","3,20973990038738%",0%
1173,Gex,2,84,12894,0%,"98,3524242899733%","1,04346461635023%","0,604111093676447%"
1174,Giron,4,84,184,0%,0%,0%,100%
1175,Gorrevod,3,84,882,0%,0%,"95,7522123893805%","4,24778761061947%"
1177,Grand-Corent,4,84,181,0%,0%,0%,100%
1179,Gri?ges,3,84,1942,0%,0%,"99,7189575881451%","0,28104241185488%"
1180,Grilly,3,84,827,0%,0%,"99,468438538206%","0,53156146179402%"
1181,Groissiat,2,84,1256,0%,"60,4651162790698%","38,8820889432885%","0,652794777641779%"
1183,Gu?reins,2,84,1461,0%,"95,1909959072306%","4,80900409276944%",0%
1184,Hautecourt-Roman?che,3,84,806,0%,0%,"58,7588881706529%","41,2411118293471%"
1185,Plateau d'Hauteville,3,84,5025,0%,0%,"88,7691805419523%","11,2308194580477%"
1187,Haut Valromey,4,84,727,0%,0%,0%,100%
1188,Illiat,3,84,632,0%,0%,"91,5316642120766%","8,46833578792342%"
1189,Injoux-G?nissiat,3,84,1181,0%,0%,"78,2258064516129%","21,7741935483871%"
1190,Innimond,4,84,101,0%,0%,0%,100%
1191,Izenave,4,84,166,0%,0%,0%,100%
1192,Izernore,3,84,2318,0%,0%,"89,0823844608171%","10,9176155391829%"
1193,Izieu,3,84,244,0%,0%,"96,4556962025316%","3,54430379746835%"
1194,Jassans-Riottier,2,84,6516,0%,"93,0184642206197%","6,9815357793803%",0%
1195,Jasseron,3,84,1814,0%,0%,"92,8284566838784%","7,17154331612163%"
1196,Jayat,3,84,1179,0%,0%,"98,6585893552575%","1,34141064474254%"
1197,Journans,3,84,369,0%,0%,"99,1537376586742%","0,846262341325811%"
1198,Joyeux,4,84,277,0%,0%,0%,100%
1199,Jujurieux,3,84,2228,0%,0%,"88,2296650717703%","11,7703349282297%"
1200,Labalme,4,84,214,0%,0%,0%,100%
1202,Lagnieu,2,84,7234,0%,"86,1001998483909%","13,0590586451657%","0,840741506443388%"
1203,Laiz,3,84,1252,0%,0%,"99,2295214922952%","0,770478507704785%"
1204,Le Poizat-Lalleyriat,3,84,728,0%,0%,"54,1405706332637%","45,8594293667363%"
1206,Lantenay,3,84,278,0%,0%,100%,0%
1207,Lapeyrouse,4,84,336,0%,0%,0%,100%
1208,Lavours,4,84,133,0%,0%,0%,100%
1209,L?az,3,84,734,0%,0%,"85,2687458526875%","14,7312541473125%"
1210,L?lex,4,84,229,0%,0%,"96,1165048543689%","3,88349514563107%"
1211,Lent,3,84,1452,0%,0%,"87,8186968838527%","12,1813031161473%"
1212,Lescheroux,3,84,741,0%,0%,"88,6031966643503%","11,3968033356498%"
1213,Leyment,3,84,1313,0%,0%,"93,7055076807793%","6,29449231922068%"
1214,Leyssard,4,84,157,0%,0%,0%,100%
1215,Surjoux-Lhopital,4,84,129,0%,0%,0%,100%
1216,Lhuis,3,84,910,0%,0%,"85,9187178019462%","14,0812821980538%"
1219,Lompnas,4,84,171,0%,0%,0%,100%
1224,Loyettes,2,84,3175,0%,"88,0180040353872%","10,5851311500854%","1,39686481452739%"
1225,Lurcy,3,84,389,0%,0%,"99,7584541062802%","0,241545893719807%"
1227,Magnieu,3,84,652,0%,0%,"98,6301369863014%","1,36986301369863%"
1228,Maillat,3,84,645,0%,0%,"92,1627731725697%","7,83722682743029%"
1229,Malafretaz,3,84,1213,0%,0%,"98,408276959809%","1,59172304019101%"
1230,Mantenay-Montlin,3,84,317,0%,0%,"91,0769230769231%","8,92307692307692%"
1231,Manziat,2,84,2035,0%,"75,7245479316324%","24,2754520683676%",0%
1232,Marboz,3,84,2272,0%,0%,"91,3530465949821%","8,64695340501792%"
1233,Marchamp,4,84,133,0%,0%,0%,100%
1234,Marignieu,4,84,180,0%,0%,0%,100%
1235,Marlieux,3,84,1163,0%,0%,"91,1091154018859%","8,89088459811405%"
1236,Marsonnas,3,84,997,0%,0%,"95,6161714564053%","4,38382854359474%"
1237,Martignat,2,84,1691,0%,"85,8490566037736%","12,8537735849057%","1,29716981132075%"
1238,Massieux,2,84,2578,0%,"93,3075221238938%","6,6924778761062%",0%
1239,Massignieu-de-Rives,3,84,627,0%,0%,"96,3021243115657%","3,6978756884343%"
1240,Matafelon-Granges,4,84,662,0%,0%,"19,0697674418605%","80,9302325581395%"
1241,Meillonnas,3,84,1354,0%,0%,"98,0937857415174%","1,90621425848265%"
1242,M?rignat,4,84,130,0%,0%,0%,100%
1243,Messimy-sur-Sane,3,84,1241,0%,0%,"99,1564417177914%","0,843558282208589%"
1244,Meximieux,2,84,7800,0%,"95,181719814143%","4,67825090700783%","0,140029278849214%"
1245,Bohas-Meyriat-Rignat,3,84,915,0%,0%,"37,6310272536688%","62,3689727463312%"
1246,M?z?riat,3,84,2172,0%,0%,"93,7400045693397%","6,25999543066027%"
1247,Mijoux,4,84,352,0%,0%,"34,6998535871157%","65,3001464128843%"
1248,Mionnay,3,84,2178,0%,0%,"96,0335448776065%","3,96645512239347%"
1249,Miribel,2,84,9851,0%,"86,9011491965574%","12,7008606536988%","0,397990149743794%"
1250,Mis?rieux,2,84,2195,0%,"66,4093691775353%","33,0582911897791%","0,532339632685653%"
1252,Mogneneins,3,84,802,0%,0%,"98,011187072716%","1,98881292728403%"
1254,Montagnat,3,84,2009,0%,0%,"99,1935483870968%","0,806451612903226%"
1255,Montagnieu,3,84,623,0%,0%,"99,6672212978369%","0,332778702163062%"
1257,Montanges,4,84,350,0%,0%,"1,21951219512195%","98,780487804878%"
1258,Montceaux,3,84,1218,0%,0%,"98,6295848448206%","1,37041515517936%"
1259,Montcet,3,84,689,0%,0%,"97,264218862491%","2,735781137509%"
1260,Le Montellier,4,84,301,0%,0%,0%,100%
1261,Monthieux,3,84,674,0%,0%,"92,3018867924528%","7,69811320754717%"
1262,Montluel,2,84,7106,0%,"86,0607369027058%","7,72164651698331%","6,21761658031088%"
1263,Montmerle-sur-Sane,2,84,3877,0%,"94,2635658914729%","5,27131782945736%","0,465116279069768%"
1264,Montracol,3,84,1073,0%,0%,"96,4083175803403%","3,59168241965974%"
1265,Montr?al-la-Cluse,3,84,3480,0%,0%,100%,0%
1266,Montrevel-en-Bresse,3,84,2506,0%,0%,"98,298755186722%","1,70124481327801%"
1267,Nurieux-Volognat,3,84,1054,0%,0%,"89,1369047619048%","10,8630952380952%"
1268,Murs-et-G?lignieux,3,84,260,0%,0%,"96,4%","3,6%"
1269,Nantua,3,84,3629,0%,0%,"99,7247285517663%","0,275271448233675%"
1272,Neuville-les-Dames,3,84,1528,0%,0%,"92,0214549111633%","7,97854508883674%"
1273,Neuville-sur-Ain,3,84,1773,0%,0%,"79,2911540714704%","20,7088459285296%"
1274,Les Neyrolles,3,84,648,0%,0%,"99,1850040749796%","0,814995925020375%"
1275,Neyron,2,84,2556,"0,422264875239923%","87,8119001919386%","11,3435700575816%","0,422264875239923%"
1276,Ni?vroz,3,84,1605,0%,0%,"97,9110713219934%","2,08892867800657%"
1277,Nivollet-Montgriffon,4,84,120,0%,0%,0%,100%
1279,Oncieu,4,84,99,0%,0%,0%,100%
1280,Ordonnaz,4,84,147,0%,0%,0%,100%
1281,Ornex,2,84,4564,0%,"99,7017892644135%",0%,"0,298210735586481%"
1282,Outriaz,3,84,269,0%,0%,"98,8349514563107%","1,16504854368932%"
1283,Oyonnax,2,84,23150,0%,"97,0963234651995%","2,62859138939831%","0,275085145402148%"
1284,Ozan,3,84,686,0%,0%,"99,1097922848665%","0,890207715133531%"
1285,Parcieux,2,84,1220,0%,"94,732641660016%","5,18754988028731%","0,0798084596967279%"
1286,Parves et Nattages,3,84,960,0%,0%,"98,9893885800909%","1,01061141990905%"
1288,P?ron,3,84,2635,0%,0%,"95,3858392999205%","4,61416070007955%"
1289,P?ronnas,2,84,6580,0%,"91,5418502202643%","7,52903484181017%","0,929114937925511%"
1290,P?rouges,2,84,1233,0%,"57,0355731225297%","40,6719367588933%","2,29249011857708%"
1291,Perrex,3,84,831,0%,0%,"95,7193816884661%","4,28061831153389%"
1293,Peyriat,4,84,168,0%,0%,0%,100%
1294,Peyrieu,3,84,877,0%,0%,"95,0346420323326%","4,96535796766744%"
1295,Peyzieux-sur-Sane,3,84,676,0%,0%,"95,2023988005997%","4,7976011994003%"
1296,Pirajoux,3,84,396,0%,0%,"65,4808959156785%","34,5191040843215%"
1297,Pizay,3,84,808,0%,0%,"99,4202898550725%","0,579710144927536%"
1298,Plagne,4,84,126,0%,0%,0%,100%
1299,Le Plantay,3,84,562,0%,0%,"69,2172383465259%","30,7827616534741%"
1301,Polliat,3,84,2566,0%,0%,"98,0471771075019%","1,95282289249807%"
1302,Pollieu,4,84,167,0%,0%,0%,100%
1303,Poncin,3,84,1729,0%,0%,"81,6921744152469%","18,3078255847531%"
1304,Pont-d'Ain,3,84,2960,0%,0%,"99,9652657172629%","0,0347342827370615%"
1305,Pont-de-Vaux,3,84,2341,0%,0%,"99,3575034419458%","0,642496558054153%"
1306,Pont-de-Veyle,3,84,1682,0%,0%,"99,7364953886693%","0,263504611330698%"
1307,Port,3,84,884,0%,0%,100%,0%
1308,Pougny,3,84,828,0%,0%,"97,2356599861783%","2,7643400138217%"
1309,Pouillat,4,84,90,0%,0%,0%,100%
1310,Pr?meyzel,4,84,251,0%,0%,0%,100%
1311,Pr?millieu,4,84,46,0%,0%,0%,100%
1313,Pr?vessin-Mons,2,84,8183,0%,"98,3579429735234%","1,55295315682281%","0,0891038696537678%"
1314,Priay,3,84,1746,0%,0%,"97,7957589285714%","2,20424107142857%"
1317,Ramasse,3,84,325,0%,0%,"99,1279069767442%","0,872093023255814%"
1318,Ranc?,3,84,744,0%,0%,100%,0%
1319,Relevant,3,84,468,0%,0%,"93,801652892562%","6,19834710743802%"
1320,Replonges,2,84,3783,0%,"77,1218206157965%","22,3427041499331%","0,535475234270415%"
1321,Revonnas,3,84,951,0%,0%,"99,6706915477497%","0,329308452250274%"
1322,Reyrieux,2,84,4800,0%,"89,2404431579998%","10,0608843197924%","0,698672522207805%"
1323,Reyssouze,3,84,993,0%,0%,"99,2893401015228%","0,710659898477157%"
1325,Rignieux-le-Franc,3,84,994,0%,0%,"97,0263788968825%","2,97362110311751%"
1328,Romans,4,84,598,0%,0%,"27,0165208940719%","72,9834791059281%"
1329,Rossillon,4,84,159,0%,0%,0%,100%
1330,Ruffieu,4,84,188,0%,0%,0%,100%
1331,Saint-Alban,4,84,183,0%,0%,0%,100%
1332,Saint-Andr?-de-Bg?,3,84,764,0%,0%,"99,6060407091267%","0,393959290873276%"
1333,Saint-Andr?-de-Corcy,3,84,3293,0%,0%,"96,7868566443734%","3,21314335562664%"
1334,Saint-Andr?-d'Huiriat,3,84,611,0%,0%,"97,9066022544283%","2,09339774557166%"
1335,Saint-Andr?-le-Bouchoux,3,84,385,0%,0%,"81,9796954314721%","18,0203045685279%"
1336,Saint-Andr?-sur-Vieux-Jonc,3,84,1154,0%,0%,"90,7577019150708%","9,24229808492923%"
1337,Saint-B?nigne,3,84,1288,0%,0%,"97,5996902826171%","2,40030971738289%"
1338,Grosl?e-Saint-Benoit,3,84,1227,0%,0%,"63,6178861788618%","36,3821138211382%"
1339,Saint-Bernard,2,84,1476,0%,"82,1664464993395%","16,9749009247028%","0,858652575957728%"
1342,Sainte-Croix,3,84,574,0%,0%,"91,0091743119266%","8,9908256880734%"
1343,Saint-Cyr-sur-Menthon,3,84,1801,0%,0%,"98,1987053194484%","1,80129468055165%"
1344,Saint-Denis-l?s-Bourg,2,84,5870,0%,"91,3657770800628%","8,33677600594894%","0,297446913988267%"
1345,Saint-Denis-en-Bugey,2,84,2319,0%,"87,8190774742499%","12,0913569189431%","0,0895656068069861%"
1346,Saint-Didier-d'Aussiat,3,84,892,0%,0%,"92,5797101449275%","7,42028985507246%"
1347,Saint-Didier-de-Formans,2,84,2012,0%,"80,1925391095066%","19,8074608904934%",0%
1348,Saint-Didier-sur-Chalaronne,3,84,2898,0%,0%,"99,1405550581916%","0,859444941808416%"
1349,Saint-loi,3,84,458,0%,0%,"94,9647532729104%","5,03524672708963%"
1350,Saint-tienne-du-Bois,3,84,2531,0%,0%,"93,0871956009426%","6,91280439905734%"
1351,Saint-tienne-sur-Chalaronne,3,84,1576,0%,0%,"97,3189522342065%","2,68104776579353%"
1352,Saint-tienne-sur-Reyssouze,3,84,575,0%,0%,"90,9249563699825%","9,07504363001745%"
1353,Sainte-Euph?mie,2,84,1685,0%,"88,2455124493341%","11,7544875506659%",0%
1354,Saint-Genis-Pouilly,2,84,12129,0%,"98,0163671944494%","1,94805194805195%","0,0355808574986657%"
1355,Saint-Genis-sur-Menthon,3,84,481,0%,0%,"86,8085106382979%","13,1914893617021%"
1356,Saint-Georges-sur-Renon,4,84,224,0%,0%,"1,40515222482436%","98,5948477751756%"
1357,Saint-Germain-de-Joux,3,84,511,0%,0%,"94,560669456067%","5,43933054393305%"
1358,Saint-Germain-les-Paroisses,3,84,438,0%,0%,"85,9188544152745%","14,0811455847255%"
1359,Saint-Germain-sur-Renon,4,84,239,0%,0%,"5,97609561752988%","94,0239043824701%"
1360,Saint-Jean-de-Gonville,2,84,1763,0%,"77,432471681673%","22,102817310485%","0,464711007841998%"
1361,Saint-Jean-de-Niost,3,84,1462,0%,0%,"98,970398970399%","1,02960102960103%"
1362,Saint-Jean-de-Thurigneux,3,84,786,0%,0%,"94,883997620464%","5,11600237953599%"
1363,Saint-Jean-le-Vieux,3,84,1800,0%,0%,"99,8915695310382%","0,108430468961778%"
1364,Saint-Jean-sur-Reyssouze,3,84,746,0%,0%,"66,2329212752115%","33,7670787247885%"
1365,Saint-Jean-sur-Veyle,3,84,1142,0%,0%,"97,9600694444444%","2,03993055555556%"
1366,Sainte-Julie,3,84,1018,0%,0%,"94,8424068767908%","5,15759312320917%"
1367,Saint-Julien-sur-Reyssouze,3,84,702,0%,0%,"98,5580389329488%","1,44196106705119%"
1368,Saint-Julien-sur-Veyle,3,84,813,0%,0%,"99,533527696793%","0,466472303206997%"
1369,Saint-Just,3,84,941,0%,0%,"99,2533333333333%","0,746666666666667%"
1370,Saint-Laurent-sur-Sane,2,84,1780,0%,100%,0%,0%
1371,Saint-Marcel,3,84,1328,0%,0%,"97,0219435736677%","2,97805642633229%"
1372,Saint-Martin-de-Bavel,3,84,443,0%,0%,"98,2478097622028%","1,75219023779725%"
1373,Saint-Martin-du-Frne,3,84,1100,0%,0%,"94,4896981312889%","5,51030186871107%"
1374,Saint-Martin-du-Mont,3,84,1850,0%,0%,"98,6758474576271%","1,32415254237288%"
1375,Saint-Martin-le-Chtel,3,84,816,0%,0%,"97,0678069639585%","2,93219303604154%"
1376,Saint-Maurice-de-Beynost,2,84,4005,0%,"94,4177822682496%","5,38014650164183%","0,202071230108613%"
1378,Saint-Maurice-de-Gourdans,3,84,2590,0%,0%,"99,2613111726685%","0,738688827331487%"
1379,Saint-Maurice-de-R?mens,3,84,762,0%,0%,"90,5972045743329%","9,40279542566709%"
1380,Saint-Nizier-le-Bouchoux,3,84,697,0%,0%,"51,9872813990461%","48,0127186009539%"
1381,Saint-Nizier-le-D?sert,3,84,933,0%,0%,"74,6869896570495%","25,3130103429505%"
1382,Sainte-Olive,4,84,285,0%,0%,"80,0766283524904%","19,9233716475096%"
